id	sentiment	review
0	0	[Last Updated May 2018]
1	0	Musixmatch is committed to protecting its users¡¯ privacy.
2	0	"By using our services and/or becoming part of our Community, you will share with us some of your personal data"
3	0	"For that reason, we want to ensure that you understand how we collect such data, the people we share them with, as well as how you will be able to control, change and update such data"
4	0	"Therefore, the purpose of this Policy is to:"
5	0	Explain which data Musixmatch collects;
6	0	"Explain how Musixmatch uses, manages and shares such data;"
7	0	Explain what the options at the user¡¯s disposal are.
8	0	"As you may know, Musixmatch offers its services also through its mobile app or other online platforms such as its partners¡¯ websites and social media"
9	0	This Privacy Policy is applicable to any data we collect about you or that you voluntarily provide to us through these platforms or other connected tools (for example e-mails sent to our Team).
10	0	"This Policy is provided pursuant to the UE Regulation on data protection (General Data Protection Regulation, hereinafter ¡°GDPR¡±)."
11	0	"By accessing our Website and using our app, you accept and consent to the practices described in this Policy"
12	0	"If you do not accept the provisions set forth herein, we invite you not to use our Website or app."
13	0	Table of contents
14	0	What kind of personal data Musixmatch collects
15	0	Data you choose to provide to us
16	0	Data we automatically collect when you use our services
17	0	Personal data collected from other sources
18	0	Use of data and processing legal framework
19	0	Who we share data with
20	0	"Data retention, account deactivation and cancellation"
21	0	Transfer of personal data
22	0	Amendments to this Policy
23	0	"For every personal data provided to, or collected by, Musixmatch the Data Controller shall be Musixmatch S.p.A., Via Timavo no"
24	0	"34, Milan (Italy)."
25	0	What kind of personal data Musixmatch collects
26	0	We collect essentially three types of data:
27	0	Data you choose to provide to us
28	0	Data we automatically collect when you use our services
29	0	Data we receive from third parties
30	0	Data you choose to provide to us
31	0	You do not need to create an account to use some of our services¡¯ features such as the research and display of lyrics and translations
32	0	"We will collect information on the contents you share, such as the song lyrics you upload, the lyrics¡¯ translations you make, the comments you write when you join one thread on our Forum."
33	0	With your prior consent we will be allowed to use the microphone for songs¡¯ immediate identification and lyrics¡¯ synchronization.
34	0	With you prior consent we will be allowed to access your music library to play your favourite songs and synchronize them with our lyrics.
35	0	Other data we collect are those you choose to provide to us when you call the customer service or communicate with us in any other way.
36	0	"If you access our API (Application Programming Interface) or the developers¡¯ portal, we will process your personal data to help provide our services"
37	0	You can update your data by contacting us directly as indicated in this Privacy Policy.
38	0	"Please remember that most activities on Musixmatch are public, including information regarding your profile, language, the posts you share on our Forum, the comments to posts of other members of the Community, the lyrics and translations uploaded, their upload date, your opinion on posts."
39	0	You are responsible for the data you provide through our services and therefore we ask you to pay attention to what you make public!
40	0	Data we automatically collect when you use our services
41	0	"Data on devices and how they are used ¨C We collect data on computers or other devices on which you set up our services or through which you access such services, based on the authorizations you provided"
42	0	We could associate the data we collect from all your devices so as to provide coherent services on the different devices used
43	0	Here there are some examples of the data we collect regarding devices:
44	0	your IP address
45	0	date and time of access to our service
46	0	"hardware, software or browser you use and information on your computer¡¯s operating system and application version"
47	0	information on your clicks and pages that have been shown to you.
48	0	"If you use a mobile device, we collect data identifying your device and the mobile¡¯s settings and features (ID for advertisements and device¡¯s unique token)."
49	0	"Data collected through cookies and similar technologies ¨C We could use cookies and similar technologies (such as web beacon, web archives and device unique identifiers) to collect data on your activity, browser and device."
50	0	Most browsers are set to accept cookies by default
51	0	"However, if you wish, you can change your browser and device settings"
52	0	Please remember that the removal of some cookies might affect the proper functioning of some of our services.
53	0	"When a browser or device allows it, we use temporary and persistent cookies to better understand how you interact with our services and to customize and use our services in various ways, for example to ensure your account¡¯s safety or save your language preferences."
54	0	"We might use such technologies also to collect data when you interact with our partners¡¯ services, for example in relation to commercial and advertising services."
55	0	"For more information on how we use cookies and on your settings, please refer to our Cookie Policy"
56	0	"For more information on the use of such technologies in our services from third parties, please refer to the Advertisement section within this Policy."
57	0	Personal data collected from other sources
58	0	Social media ¨C Musixmatch allows you to use social media websites to create your account as well as to share information with social media websites
