id	sentiment	review
27256	0	"send you related information, including technical notices, updates, security alerts, and support and administrative messages;"
13824	0	We do not sell these email addresses and do not use them to send any other messages except for the invitation
26284	0	"Depending on what is described below, third parties may provide registration and authentication services"
9848	0	"We might collect the following information: age and gender of the user of an app, whether another person uses the app, the age and gender of the people regularly using the app, assessment of popularity of the main character, which of the characters are known to the user, which app is most commonly used, whether children under the age of 13 use the app on their own or with an adult, the gender of users playing the app, different ways of using the app, an assessment of the features of an app, the time period of using the app, which apps the user has, which Talking Tom and Friends Products have been bought or have been considered, what would make the app more appealing, and other information needed for the purposes of internal analysis, marketing and brand development."
10804	0	We use automated decision making methods which do not involve human involvement to process your information only in the ways that are described in this Privacy Policy
26481	0	MobFox (MobFox Mobile Advertising GmbH): MobFox is an advertising service provided by MobFox Mobile Advertising GmbH
20844	0	"you can contact us if you want us to delete certain data that we have stored about you, please load Terms &Privacy from your Game settings and follow instructions in section request Personal Data to be removed  in Privacy Policy (available to EEA-based users only))"
12483	0	  International Transfers of Personal Data
7463	0	We will respond to your request to access within 30 days.
15009	0	Terms of Service
26606	0	"Where you do not request for account deletion, such data will be retained for 1 year after the Game is shut down, before it is deleted."
17358	0	if you have objected against the processing of your personal data in accordance with Article 21 para
6856	0	"Svobody, 4, office 355, 220030, Minsk, Republic of Belarus"
27313	0	International data transfers
464	0	"Where you have previously provided your consent, you have the right to withdraw your consent to the processing of your information at any time"
16855	0	Domain of applicability
10951	0	"Screening drivers and delivery partners prior to enabling their use of our services and at subsequent intervals, including through reviews of background checks where permitted by law, to prevent use of our services by unsafe drivers."
1105	0	"※Process§, in respect of personal data, includes to collect, store, and disclose to others."
22633	0	Malwarebytes participates in and has certified its compliance with the EU-U.S
9685	0	"We consider a user to be a child if they are under the age of 13, unless more stringent regulation applies in their country of residence"
16513	0	"To prevent fraud and verify the installation of the game, we may share your IDFA (iOS)"
1077	0	"If we change this Policy in a manner that is materially less restrictive of our use or disclosure of your personal information, we will use reasonable efforts to notify you of the change and to obtain your consent prior to applying the change to any personal information that we collected from you prior to the date the change becomes effective"
718	0	  At AxesInMotion we love making fun and entertaining games available on mobile devices
6300	0	The processing of these data is restricted to the purpose of defending against any claims that might be asserted
1236	0	Please be aware that not all information sharing is covered by the ※Shine the Light§ requirements and only information on covered sharing will be included in our response.
26743	0	Check the ※Help§ menu of your browser or operating system to learn how to adjust your tracking settings or cookie preferences
28881	0	Protection of Personal Data
5905	0	"We share information globally, both internally within the Facebook Companies, and externally with our partners and with those you connect and share with around the world in accordance with this policy"
11962	0	"Subject to applicable laws, we may share your Information with companies with whom the Company is affiliated or related to (e.g., parent company or subsidiaries), and will require such affiliated or related companies to use the Information solely in accordance with this Policy."
874	0	You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device
15107	0	"If you receive a notification from Anghami that material made available by you on or through the Site or the Anghami Service has been the subject of a Notification of Claimed Infringement, then you will have the right to provide Anghami with what is called a ※Counter Notification.§ To be effective, a Counter Notification must be in writing, provided Anghami＊ s Designated Agent through one of the methods identified in Section B(d) of this TOS, and include substantially the following information:"
27071	0	"Twitch allows users to distribute streaming live and pre-recorded audio-visual works, to use services, such as chat, bulletin boards, forum postings, wiki contributions, voice interactive services, and to participate in other activities in which you may create, post, transmit, perform, or store content, messages, text, sound, images, applications, code or other data or materials on the Twitch Services (※User Content§)."
3543	0	"Ferro Entertainment and third parties are not aware of our users＊ identity as only the below stated non-personal information is collected: technical information, behavioral information, statistical information and aggregate data"
8786	0	"If you need to download your short videos or sound tracks on a massive basis (more than 100 files), please email us"
49	0	Use of ※niconico§ by minors who are from 13 to 19 years old inclusive without the consent of their statutory agents (a person with parental authority).
8160	0	 Alternatively you may seek a remedy through local courts if you believe your rights have been breached.
9288	0	(3) Helpshift Inc.
5835	0	"This includes your Instagram username; any information you share with a public audience; information in your public profile on Facebook; and content you share on a Facebook Page, public Instagram account or any other public forum, such as Facebook Marketplace"
29180	0	"2) Although we do what we can to provide security measures to protect your content, we are not liable for any damages resulting from disclosure of your Content."
10429	0	"For questions about your Personal Information on our Service, please contact contact@timeut.us"
27447	0	 We may from time to time allow our employees to use the product for testing and user engagement purposes.
5605	0	"We collect technical information about your device that are necessary for you to use our App and additional technical data that enables us to maintain and analyze the functioning of the App, to personalize the content of the App, and to display advertisements"
2605	0	"We may share your information with certain third parties (including, without limitation, search engines, content providers, and advertising networks and platforms) that provide various services (such as advertising, marketing, analysis, content, and search) in connection with the Software and Services"
5250	0	"By using the Application, you are consenting to our processing of your information as set forth in this Privacy Policy now and as amended by us"
11642	0	"Your (hereinafter referred to as ※You§ or ※Your§) privacy is top priority of Free Puzzle Games Team (hereinafter referred to as the ※team§, ※we§, ※us§ or ※our§)"
15764	0	MORE FROM CHELSEA
19809	0	"When you subscribe to a paid service or make a purchase directly from us (rather than through a platform such as iOS or Android), you provide us or our payment service provider with information, such as your debit or credit card number or other financial information."
19973	0	"Because we＊re always looking for new and innovative ways to help you build meaningful connections, this policy may change over time"
3686	0	"Users can add or may have added metadata added to their User Content including keywords posted with a photo or video, including names, geographical information, comments or other data"
15100	0	You should consult with your own lawyer and/or see 17 U.S.C
12895	0	" By using the Service, you agree to the collection and use of information in accordance with this policy"
24871	0	For further information see how anonymity works on Quora.
21593	0	You can learn more about the privacy practices and policies of Helpshift by visiting their Privacy Policy page: https://www.helpshift.com/legal/privacy/
2951	0	Request for customer support and/or other technical services;
14739	0	(1) Operation of cookies
2207	0	"Monday, March 13, 2017"
9083	0	"User content, including text, images and videos you have uploaded to the site"
27329	0	" Withdrawing your consent will not affect the lawfulness of any processing we conducted prior to your withdrawal, nor will it affect processing of your personal information conducted in reliance on lawful processing grounds other than consent."
11680	0	"Please be aware, however, that no method of transmitting information over the Internet or storing information is completely secure"
7665	0	We will notify you of any changes by posting the new Privacy Policy on this page
25051	0	"We do share Personal Information with vendors (data-processors) who are performing services for Relive, such as the servers for our email communications who are provided access to user's email address for purposes of sending emails from us."
3439	0	There are two general categories of information we will process:
3073	0	"If you are uncertain about what information Facebook is sharing with us, please go to the website of Facebook to find out more about their privacy practices."
23515	0	or its affiliates
13659	0	" Such usage information include information about how and when you access or use our Services (such as games accessed, pages visited, purchase and use of virtual game items, the details of your purchases, and your game play)."
12436	0	"  Google uses the data on behalf of the website operator to evaluate your use of the website, to compile reports on website activity for the website operators and for other website activity and internet usage services"
21970	0	"We will show you ads called sponsored content which look similar to non-sponsored content, except that they are labeled ※ads§ or ※sponsored.§ If you take an action (such as like, comment or share) on these ads, your action is associated with your name and viewable by others, including the advertiser"
5062	0	The Firebase privacy policy can be found at https://www.firebase.com/terms/privacy-policy.html
10142	0	About This Privacy Statement and Trip.com
13834	0	"Law enforcement agencies, if necessary, provide data on the law, as well as to protect life."
16519	0	"﹞ We may also share and may acquire your Personal Information with future subsidiaries or companies if we choose to sell, transfer or"
8423	0	Our Privacy Policy may be subject to change.
2071	0	" This research may be compiled and analyzed on an aggregate basis, and Chatous may share this aggregate data with its affiliates, agents and business partners"
